feature,importance,feature_group
cat__reason_Hyperglycemia rescue,0.0,categorical
cat__reason_Hyperglycemia Discontinuation Criteria,0.0,categorical
cat__reason_Hyperglycemia Criteria,0.0,categorical
cat__reason_Incorrect randomization,0.0,categorical
cat__reason_Incorrect enrolment to study,0.0,categorical
cat__period_title_28-Day Follow-up,0.0,categorical
cat__period_title_10 Year Follow up,0.0,categorical
"cat__period_title_1-Single-blind, Run-in, Single-Treatment",0.0,categorical
cat__reason_Hospitalization (not including surgery),0.0,categorical
cat__reason_Hospice Admission,0.0,categorical
cat__reason_Home monitoring off meds,0.0,categorical
cat__reason_Hip Replacement,0.0,categorical
cat__reason_Guardian decision,0.0,categorical
cat__reason_Glycemic discontinuation criteria,0.0,categorical
cat__reason_Glycemia over 13.3 millimole per litre,0.0,categorical
cat__reason_General Anaesthesia,0.0,categorical
cat__reason_GSPECT at rest was not done,0.0,categorical
cat__reason_IRB request,0.0,categorical
cat__reason_ID: Patient Noncompliance,0.0,categorical
cat__reason_ID: Palliative Treatment Only,0.0,categorical
cat__period_title_9-Month Angiographic Follow-up,0.0,categorical
cat__period_title_5 Year Follow up,0.0,categorical
cat__reason_Flushing Symptoms,0.0,categorical
cat__reason_Fear of hypoglycaemia,0.0,categorical
cat__reason_Fear of experiencing AE again,0.0,categorical
cat__reason_Fasting plasma glucose level increased,0.0,categorical
cat__reason_Fasting plasma glucose >240 mg/dL,0.0,categorical
cat__reason_Fasting Glucose > 240 mg/dL,0.0,categorical
cat__reason_Family request,0.0,categorical
cat__reason_Family or MD withdrew subject,0.0,categorical
cat__reason_Family illness,0.0,categorical
cat__reason_Family Emergency,0.0,categorical
cat__reason_Family Crisis - could not participate,0.0,categorical
cat__reason_Familial or Personal Reasons,0.0,categorical
cat__reason_Hyperglicaemia,0.0,categorical
cat__reason_Hospitalized due to kidney transplant,0.0,categorical
cat__reason_Not Compliant with Study Procedures,0.0,categorical
cat__period_title_Basal Insulin Optimization Phase (BIO),0.0,categorical
cat__period_title_All-IP Period (Years 2 and 3),0.0,categorical
cat__period_title_Double Blind,0.0,categorical
cat__reason_Failure to Return,0.0,categorical
cat__reason_Fails to meet inclusion/exclusion,0.0,categorical
cat__reason_Failing to Meet Randomization Requirements,0.0,categorical
cat__reason_Failed mobilization,0.0,categorical
cat__reason_Failed inclusion criteria #4,0.0,categorical
cat__reason_Failed Inclusion Exclusion Criteria,0.0,categorical
cat__reason_FPG exceeds limits/too high,0.0,categorical
cat__reason_Explanted,0.0,categorical
cat__reason_Exited prior to EP study,0.0,categorical
cat__reason_Exclusion criteria violation,0.0,categorical
cat__reason_Exclusion criteria,0.0,categorical
cat__reason_Not Available for the 8 Week Visit,0.0,categorical
cat__reason_GCP violation,0.0,categorical
cat__reason_GCP non-compliance,0.0,categorical
cat__reason_Flushing with Product,0.0,categorical
cat__reason_Exceeded 12 Weeks Of Run In,0.0,categorical
cat__reason_Error of power injector,0.0,categorical
cat__reason_Erectile dysfunction,0.0,categorical
cat__reason_Entry criterion not met,0.0,categorical
cat__reason_Entry criteria violation,0.0,categorical
cat__reason_Entry Criteria not Met,0.0,categorical
cat__reason_Entered into Another Clinical Trial,0.0,categorical
cat__reason_Entered Rescue Procedure,0.0,categorical
cat__reason_Enrollment capped,0.0,categorical
cat__reason_Enrolled in an investigational study,0.0,categorical
cat__reason_Noncompliant with Study Visits,0.0,categorical
cat__reason_False Treatment,0.0,categorical
cat__reason_Failure to meet continuation criteria,0.0,categorical
cat__reason_Enrolled but no catheter inserted,0.0,categorical
cat__reason_End of study visit not completed/delayed,0.0,categorical
cat__reason_End of study visit completed by phone,0.0,categorical
cat__reason_Eligibility criteria not fulfilled,0.0,categorical
cat__reason_Eligibility Criteria not Fulfilled,0.0,categorical
cat__reason_Eligibility Criteria,0.0,categorical
cat__reason_Elevated triglyceride,0.0,categorical
cat__reason_Elevated LFT results,0.0,categorical
cat__reason_Elevated Creatinine and Potassium levels,0.0,categorical
cat__reason_Noncompliant,0.0,categorical
cat__reason_Early termination by subject,0.0,categorical
cat__reason_Excluded from study,0.0,categorical
cat__reason_Excluded from analysis,0.0,categorical
cat__period_title_Extension Period:26 Weeks(Upto 52 Weeks),0.0,categorical
cat__period_title_Extended Follow-up Cutoff (23 Jul 2008),0.0,categorical
cat__period_title_Enrolled - Long-Term Extension Study,0.0,categorical
cat__period_title_Follow-Up(Week 13/1 Week Post Last Dose),0.0,categorical
cat__period_title_Follow-Up Period - Randomized Patients,0.0,categorical
cat__period_title_Follow up Period - No Drug Treatment,0.0,categorical
cat__period_title_Follow up Period (Week 56-68),0.0,categorical
cat__period_title_Final Follow-up,0.0,categorical
cat__period_title_Extension: Week 27 to 52 (NN5401-3645),0.0,categorical
cat__period_title_LCZ696 Run-in Period,0.0,categorical
cat__period_title_Interphase,0.0,categorical
cat__reason_Early Termination,0.0,categorical
cat__reason_ESKD,0.0,categorical
cat__reason_Dyspnea,0.0,categorical
cat__reason_Due to long-term overseas business trips,0.0,categorical
cat__reason_Due to adaptive design,0.0,categorical
cat__reason_Due to Covid-19 Pandemic,0.0,categorical
cat__reason_Due to COVID 19 restrictions,0.0,categorical
cat__reason_Due to Bariatric surgery,0.0,categorical
"cat__reason_Drug noncompliance,moved,other",0.0,categorical
"cat__reason_Drug noncompliance, other",0.0,categorical
"cat__reason_Drug noncompliance, moved, other",0.0,categorical
"cat__reason_Drug non-compliance, moved, other",0.0,categorical
cat__reason_Enrolled in Long-term Extension Study,0.0,categorical
cat__reason_Enrolled but screen failures,0.0,categorical
cat__reason_Enrolled but not treated,0.0,categorical
cat__reason_Noncompliance with Protocol,0.0,categorical
cat__reason_Diverse Reasons,0.0,categorical
cat__reason_Disease relapse,0.0,categorical
cat__reason_Discontinued in error,0.0,categorical
cat__reason_Discontinued due to DKA/hypoglycemia,0.0,categorical
cat__reason_Discontinued by Sponsor,0.0,categorical
cat__reason_Discontinued at clinical cutoff (due to end of data collection period),0.0,categorical
cat__reason_Discontinued after 41 days Rx,0.0,categorical
cat__reason_Discontinued Prior to Visit,0.0,categorical
cat__reason_Discontinued,0.0,categorical
cat__reason_Discontinuation due to Rash,0.0,categorical
cat__reason_Early study termination,0.0,categorical
cat__reason_Early recovery,0.0,categorical
cat__period_title_Follow-up Through 30 Days Post Procedure,0.0,categorical
cat__reason_Disallowed Concomitant Medication,0.0,categorical
cat__reason_Difficulty Swallowing,0.0,categorical
cat__reason_Difficulty Making it to Study Visit,0.0,categorical
cat__reason_Difficultulty in use of device,0.0,categorical
cat__reason_Dietician consultation >30 days,0.0,categorical
cat__reason_Died,0.0,categorical
cat__reason_Didn't receive study treatment,0.0,categorical
cat__reason_Did not take study treatment,0.0,categorical
cat__reason_Did not take study medication,0.0,categorical
cat__reason_Did not return for end of study visit,0.0,categorical
cat__reason_Did not receive treatment,0.0,categorical
cat__reason_Did not receive randomized treatment,0.0,categorical
cat__reason_Drug non-compliance,0.0,categorical
cat__reason_Drug Holiday,0.0,categorical
cat__period_title_Long-term Extension,0.0,categorical
cat__period_title_Maintencance Period 2 (36 Weeks),0.0,categorical
cat__period_title_Main: Week 0 to 26 (NN5401-3594),0.0,categorical
cat__period_title_Main Phase: 0 - 52 Weeks,0.0,categorical
cat__period_title_Open-Label Extension Period,0.0,categorical
cat__reason_Did not receive allocated intervention,0.0,categorical
cat__reason_Did not receive IV loop diuretics,0.0,categorical
cat__reason_Did not met inclusion criteria,0.0,categorical
cat__reason_Noncompliance to Study Drug,0.0,categorical
cat__reason_Did not meet study criteria,0.0,categorical
cat__reason_Did not meet responder criteria,0.0,categorical
cat__reason_Did not meet eligibility criteria,0.0,categorical
cat__reason_Did not meet criteria before ABPM,0.0,categorical
cat__reason_Did not enter long-term study,0.0,categorical
cat__reason_Did not continue to Period II,0.0,categorical
cat__reason_Did not complete Week 30 assessments due to scheduling conflict,0.0,categorical
cat__reason_Did not attend the termination visit,0.0,categorical
cat__reason_Discontinuation by the subject,0.0,categorical
"cat__reason_Discont. single-blind, Mis- randomized",0.0,categorical
cat__reason_Discharged within 48 hours,0.0,categorical
cat__reason_Did not Entered Follow-up,0.0,categorical
cat__reason_Did Not Wish To Continue,0.0,categorical
cat__reason_Did Not Receive Study Drug,0.0,categorical
cat__reason_Did Not Meet Protocol Eligibility,0.0,categorical
cat__reason_Did Not Meet Entrance Criteria,0.0,categorical
cat__reason_Did Not Meet Eligibility Criteria,0.0,categorical
cat__reason_Diagnosed With Type 1 Diabetes Mellitus,0.0,categorical
cat__reason_Device not implanted,0.0,categorical
cat__reason_Developed discontinuation criteria,0.0,categorical
cat__reason_Did not receive randomized study drug,0.0,categorical
cat__reason_Did not receive investigational product,0.0,categorical
cat__reason_Did not receive any study medication,0.0,categorical
cat__period_title_Open Label,0.0,categorical
cat__reason_Decision by the investigator/sponsor,0.0,categorical
cat__reason_Decision by the Investigator/Sponsor,0.0,categorical
cat__reason_Decision Unrelated to Adverse Event,0.0,categorical
cat__reason_Death/Withdrew/Criteria Violation,0.0,categorical
"cat__reason_Death, prior to treatment",0.0,categorical
cat__reason_Death / Reintervention / Medical Reasons,0.0,categorical
cat__reason_Death (non-related to the study,0.0,categorical
cat__reason_Death (due to adverse events,0.0,categorical
cat__reason_Did not Receive Treatment,0.0,categorical
cat__reason_Did not Receive Study Treatment,0.0,categorical
cat__period_title_Open-label Segment 1,0.0,categorical
cat__period_title_Open-Label Period,0.0,categorical
cat__reason_Noncompliance of scheduled visits,0.0,categorical
cat__reason_Creatinine/CrCl -Increase in creatinine,0.0,categorical
cat__reason_Creatinine or eGFR Discon. Criteria,0.0,categorical
"cat__reason_Creatinine and eGFR, excluded medication",0.0,categorical
cat__reason_Non-specified,0.0,categorical
cat__reason_Creatine increased,0.0,categorical
cat__reason_Covid-19 Non-AE Related Issues,0.0,categorical
cat__reason_Covid-19 Non Adverse Event (AE) Related Issues,0.0,categorical
cat__reason_Covid-19,0.0,categorical
cat__reason_Covid 19,0.0,categorical
cat__reason_Could not take time off work,0.0,categorical
cat__reason_Could not get whole set of images,0.0,categorical
cat__reason_Deep-vein Thrombosis,0.0,categorical
cat__reason_Decreased kidney function,0.0,categorical
cat__reason_Decline to return for GSPECT,0.0,categorical
cat__reason_Contraindication to oral anticoagulant,0.0,categorical
cat__reason_Contraindication,0.0,categorical
cat__reason_Contradiction to study medication,0.0,categorical
cat__reason_Continuing Treatment,0.0,categorical
cat__reason_Continue with therapy available commercially,0.0,categorical
cat__reason_Consistently forgot to bring study drug kits to site visits (for compliance check),0.0,categorical
cat__reason_Consent withdrawn: Final VS available,0.0,categorical
"cat__reason_Consent withdrawn, not due to AE",0.0,categorical
cat__reason_Data entry error (reported as study completion and study discontinuation),0.0,categorical
cat__reason_Creatinine/eGFR,0.0,categorical
cat__reason_Creatinine/Creatinine Clearance Criteria,0.0,categorical
cat__period_title_Phase 2 - Amlodipine+Valsartan,0.0,categorical
cat__reason_Non-serious Hypoglycemia,0.0,categorical
cat__period_title_Period III (Single-Blind),0.0,categorical
cat__reason_Consent Withdrawal,0.0,categorical
cat__reason_Conflicting HbA1c Results at Screening,0.0,categorical
cat__reason_Condition no longer required study drug,0.0,categorical
cat__reason_Concurrent trial enrollment,0.0,categorical
cat__reason_Completed out of Window,0.0,categorical
cat__reason_Completed extension 1 (weeks 26-40),0.0,categorical
cat__reason_Completed Survival Follow-up,0.0,categorical
cat__reason_Completed Phase A Did Not Enter Phase B,0.0,categorical
cat__reason_Comfort care,0.0,categorical
cat__reason_Non-compliant with study treatment,0.0,categorical
cat__reason_Could not attend study visits,0.0,categorical
cat__reason_Could not access randomization system,0.0,categorical
cat__reason_Coordinator error,0.0,categorical
cat__reason_Not treated with Patiromer during Run-in,0.0,categorical
cat__period_title_Phase I,0.0,categorical
cat__period_title_Run-in period,0.0,categorical
"cat__period_title_Run-in Period, Weeks -12-0",0.0,categorical
cat__reason_Clinical efficacy endpoint reached,0.0,categorical
cat__reason_Clinical adverse event,0.0,categorical
cat__reason_Clinical Worsening,0.0,categorical
cat__reason_Clinical Endpoint Reached,0.0,categorical
cat__reason_Clinic closed,0.0,categorical
cat__reason_Clearly not eligible for the study,0.0,categorical
cat__reason_Chest Discomfort,0.0,categorical
cat__reason_Changed job/ran out if meds,0.0,categorical
cat__reason_Not reported,0.0,categorical
cat__reason_Change in RAAS inhibitor therapy,0.0,categorical
cat__reason_Change in Injection Schedule,0.0,categorical
cat__reason_Consent withdrawal,0.0,categorical
cat__reason_Consent Withdrawn (Status Alive),0.0,categorical
cat__period_title_Run-in Period (Week 0 to Week 20),0.0,categorical
cat__period_title_Run-in Period (12 Weeks),0.0,categorical
cat__period_title_Run-in Period,0.0,categorical
cat__period_title_Rerandomization Arm 1 Only,0.0,categorical
cat__reason_Not reconsenting,0.0,categorical
cat__period_title_Randomization Prior to Study Med,0.0,categorical
cat__period_title_Single-Blind Valsartan 160 mg,0.0,categorical
cat__period_title_Single-Blind,0.0,categorical
cat__reason_Carotid or Neurosurgery,0.0,categorical
cat__reason_Cannot contact patient directly,0.0,categorical
cat__reason_Cancer Progression,0.0,categorical
cat__reason_Cancer Cured,0.0,categorical
cat__reason_Calcitonin Out of Range,0.0,categorical
cat__reason_CRC didn't contact participant for FU,0.0,categorical
cat__reason_COVID-19 logistical restrictions,0.0,categorical
cat__reason_Bolus tracking failed,0.0,categorical
cat__reason_Blood Pressure/Potassium Criteria Met,0.0,categorical
cat__reason_Blood Pressure Withdrawal Criteria Met,0.0,categorical
cat__reason_Blood Pressure Not Controlled,0.0,categorical
cat__reason_Bleeding,0.0,categorical
cat__reason_Clinically significant lab abnormalities,0.0,categorical
cat__reason_Clinical worsening event,0.0,categorical
cat__period_title_Screened Vitamin D Deficient,0.0,categorical
cat__period_title_SOC-controlled Period (Year 1),0.0,categorical
cat__reason_Atrial Fibrillation/Flutter recurrence,0.0,categorical
cat__reason_At the subject's own request,0.0,categorical
cat__reason_At the participant's own request,0.0,categorical
cat__reason_At the discretion of the investigator,0.0,categorical
cat__reason_At the Participant's own Request,0.0,categorical
cat__reason_At the Participant's Own Request,0.0,categorical
cat__reason_Assigned treatment by mistake,0.0,categorical
cat__reason_Assessment discrepancy,0.0,categorical
cat__reason_Angiotensin II receptor blocker required,0.0,categorical
cat__reason_Change Insulin Dosage Exceeding Criteria,0.0,categorical
cat__reason_Catheter inserted but did not undergo ablation,0.0,categorical
cat__reason_Casebook Unsigned,0.0,categorical
cat__period_title_Study Treatment Period,0.0,categorical
cat__period_title_Stent Intervention/Randomization,0.0,categorical
cat__reason_Not ready to exercise,0.0,categorical
"cat__reason_Adverse event, serious fatal event",0.0,categorical
"cat__reason_Adverse event, serious fatal",0.0,categorical
"cat__reason_Adverse event, non-fatal",0.0,categorical
cat__reason_Adverse event prior to treatment,0.0,categorical
cat__reason_Adverse event or serious adverse event,0.0,categorical
cat__reason_Adverse event (not hypoglycaemia),0.0,categorical
cat__reason_Adverse Events (unrelated to,0.0,categorical
cat__reason_Adverse Events (treatment-related),0.0,categorical
"cat__reason_Adverse Event, prior to treatment",0.0,categorical
cat__reason_Adverse Event Other than Hyperglycemia,0.0,categorical
"cat__reason_Berotralstat Provided by alternative Means (i.e., Early Access Program or Commercially Available)",0.0,categorical
cat__reason_Not pre-specified/Not coded,0.0,categorical
cat__reason_Administrative reasons by Sponsor,0.0,categorical
cat__reason_Administrative reason by author,0.0,categorical
cat__reason_Administrative reason by Sponsor,0.0,categorical
cat__reason_Not otherwise specified,0.0,categorical
cat__reason_Administrative decision,0.0,categorical
cat__reason_Not due to the above reasons,0.0,categorical
cat__reason_Administrative Problems,0.0,categorical
cat__reason_Administrative Problem,0.0,categorical
cat__reason_Alternative Treatment,0.0,categorical
cat__reason_Alternative Therapy,0.0,categorical
"cat__reason_All death, all MI, all Revascularization",0.0,categorical
cat__reason_Not compliant,0.0,categorical
cat__reason_Not coded/ Not pre-specified,0.0,categorical
cat__reason_Administration reason by sponsor,0.0,categorical
cat__reason_Administration problem,0.0,categorical
cat__reason_Addition of other PAH therapeutic agent,0.0,categorical
cat__reason_Abnormal test proceedure results,0.0,categorical
cat__reason_Abnormal test procedure results,0.0,categorical
cat__reason_Abnormal test procedure result,0.0,categorical
cat__reason_Abnormal labs,0.0,categorical
cat__reason_Not attending study visits,0.0,categorical
cat__reason_Abnormal laboratory value,0.0,categorical
cat__reason_Abnormal laboratory measure,0.0,categorical
cat__reason_Abnormal lab values,0.0,categorical
cat__reason_Adverse Event + Elevated Fasting Glucose,0.0,categorical
cat__reason_Adminstrative,0.0,categorical
cat__arm_id_FG025,0.0,categorical
cat__arm_id_FG024,0.0,categorical
cat__reason_Not attending study visit,0.0,categorical
cat__arm_id_FG022,0.0,categorical
cat__arm_id_FG021,0.0,categorical
cat__arm_id_FG020,0.0,categorical
cat__arm_id_FG019,0.0,categorical
cat__arm_id_FG018,0.0,categorical
cat__arm_id_FG017,0.0,categorical
cat__arm_id_FG016,0.0,categorical
cat__arm_id_FG014,0.0,categorical
cat__reason_Not able to visit the site,0.0,categorical
cat__reason_Administrative Decision,0.0,categorical
cat__reason_Abnormal Test Procedure,0.0,categorical
cat__reason_Abnormal Laboratory values,0.0,categorical
cat__reason_Abnormal Laboratory Value(s),0.0,categorical
cat__reason_Abnormal Laboratory Value,0.0,categorical
cat__reason_Ablation,0.0,categorical
"cat__reason_AE; Withdrawal By Subject; 1 Wk After 3 Patiromer Packets/Day, sK+ >5.0 Meq/L",0.0,categorical
cat__reason_AE; Withdrawal By Subject,0.0,categorical
cat__reason_AE; Physician Decision,0.0,categorical
"cat__reason_AE; 2 Wks After Taking Min 0 Packet/Day, sK+ Is < 4.0 Meq/L",0.0,categorical
"cat__reason_AE; 1 Wk After 3 Patiromer Packets/Day, sK+ >5.0 Meq/L",0.0,categorical
cat__reason_AE (Adverse Event),0.0,categorical
cat__reason_>=1 reason assigned per patient,0.0,categorical
cat__reason_> Three Moderate Hypoglycemic Episodes,0.0,categorical
