priority_rank,trial_id,reason,period_title,arm_id,predicted_graph_weight,risk_percentile,risk_tier,action_hint,intervention_plan,queue_date,due_date,owner,status,outreach_channel,followup_outcome,notes
3681,NCT00608023,Withdrawal by Subject,Overall Study,FG002,0.0342302953991865,0.8365679264555669,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3682,NCT01177813,Withdrawal by Subject,Overall Study,FG003,0.0342235731340259,0.8365235155660168,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3683,NCT01830543,Death,Overall Study,FG001,0.0342195339790079,0.8364791046764667,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3684,NCT00722371,Withdrawal by Subject,Overall Study,FG001,0.0342189461948214,0.8364346937869166,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3685,NCT01623115,Site closure,Overall Study,FG001,0.0342188731802083,0.8363902828973664,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3686,NCT01177813,Other reason not defined above,Overall Study,FG000,0.0342183483268731,0.8363458720078163,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3687,NCT00289900,Adverse Event,Overall Study,FG001,0.0342082298301587,0.8363014611182662,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3688,NCT01045707,Unclassified,Main: Week 0 to 26 (NN5401-3590),FG001,0.0342019369360119,0.8362570502287161,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3689,NCT01830543,Death,Overall Study,FG002,0.0341971934639781,0.836212639339166,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3690,NCT01177813,Lost to Follow-up,Overall Study,FG001,0.0341967347517342,0.8361682284496158,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3691,NCT01045707,Withdrawal Criteria,Main: Week 0 to 26 (NN5401-3590),FG001,0.0341964548403869,0.8361238175600657,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3692,NCT03115112,Withdrawal by Subject,Overall Study,FG000,0.034196143600615,0.8360794066705156,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3693,NCT00463606,Adverse Event,Overall Study,FG001,0.0341933136155906,0.8360349957809655,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3694,NCT04509674,Not treated,Overall Study,FG000,0.0341917579305654,0.8359905848914154,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3695,NCT00313313,Withdrawal of consent by subject,Overall Study,FG000,0.034185617329504,0.8359461740018652,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3696,NCT00894387,Patient's request,Overall Study,FG000,0.0341837596541765,0.8359017631123151,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3697,NCT00386607,Patient withdrew consent,Core,FG000,0.0341774494411607,0.835857352222765,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3698,NCT01712789,Participants Did Not Receive Study Drug,Overall Study,FG000,0.0341633036385813,0.8358129413332149,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3699,NCT00402363,Adverse Event,Overall Study,FG001,0.034150722431112,0.8357685304436648,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3700,NCT01387737,Adverse Event,Overall Study,FG000,0.0341489205913789,0.8357241195541146,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3701,NCT01215097,Withdrawal by Subject,Overall Study,FG000,0.0341430079924404,0.8356797086645645,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3702,NCT00808067,Patient refused to take study medication,Overall Study,FG001,0.0341191051911607,0.8356352977750144,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3703,NCT01456195,Voluntary Withdrawal,Overall Study,FG002,0.0341121376104662,0.8355908868854643,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3704,NCT01872611,Lost to Follow-up,Overall Study,FG000,0.0340966499921329,0.8355464759959143,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3705,NCT01451398,Lost to Follow-up,Overall Study,FG000,0.0340953253336309,0.835502065106364,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3706,NCT01045447,Withdrawal Criteria,Overall Study,FG001,0.0340851125515575,0.835457654216814,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3707,NCT00000620,Death,Overall Study,FG003,0.0340803677260119,0.8354132433272639,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3708,NCT01045447,Withdrawal Criteria,Overall Study,FG000,0.0340765801055853,0.8353688324377138,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3709,NCT01029886,Protocol Violation,Overall Study,FG000,0.0340751845229067,0.8353244215481637,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
3710,NCT02545049,GCP violations,Overall Study,FG001,0.0340528068845635,0.8352800106586135,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3711,NCT01159600,Adverse Event,Overall Study,FG006,0.0340501727847997,0.8352355997690634,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3712,NCT01159600,Adverse Event,Overall Study,FG000,0.0340460822707719,0.8351911888795133,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3713,NCT01159600,Other reason not defined above,Overall Study,FG005,0.0340258670088473,0.8351467779899632,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3714,NCT01159600,"Patient refusal to continue,not due toAE",Overall Study,FG000,0.0340191830094029,0.835102367100413,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3715,NCT02551874,Did not receive randomized treatment,Overall Study,FG001,0.0340073945117857,0.8350579562108629,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3716,NCT01101035,Major Protocol Deviation,Overall Study,FG000,0.0339896540047456,0.8350135453213128,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
3717,NCT01243424,Protocol Violation,Discontinuation From Treatment,FG001,0.0339596005485254,0.8349691344317627,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
3718,NCT01289990,did not continue in extension,Overall Study,FG007,0.0339566528157837,0.8349247235422126,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3719,NCT01877915,Withdrawal by Subject,Overall Study,FG000,0.0339532792731484,0.8348803126526624,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3720,NCT00086502,Adverse Event,Overall Study,FG000,0.033941293218115,0.8348359017631123,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3721,NCT01590797,Withdrawal by Subject,Overall Study,FG000,0.0339312334225595,0.8347914908735622,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3722,NCT00514735,Withdrawal by Subject,Overall Study,FG001,0.0339271257982241,0.8347470799840121,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3723,NCT00094770,Withdrawal by Subject,Year 1 ( Week 0 to Week 52),FG001,0.0339188644000396,0.834702669094462,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3724,NCT02648204,Withdrawal by Subject,Overall Study,FG000,0.0339170306478968,0.8346582582049118,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3725,NCT00654381,Adverse Event,1st Stage,FG000,0.0338746319159622,0.8346138473153617,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3726,NCT00094770,Withdrawal by Subject,Year 2 (Week 0 to Week 104),FG000,0.0338440678799585,0.8345694364258116,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3727,NCT00654381,Adverse Event,1st Stage,FG003,0.0338435150181149,0.8345250255362615,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3728,NCT02398188,Protocol Violation,Overall Study,FG001,0.0338398414605654,0.8344806146467114,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
3729,NCT01467466,No Endpoint Blood Draw,Overall Study,FG003,0.0338364972510949,0.8344362037571612,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3730,NCT02942576,Adverse Event,Overall Study,FG001,0.0338332702742025,0.8343917928676111,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3731,NCT01986881,Lost to Follow-up,Overall Study,FG002,0.0338331989425,0.834347381978061,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3732,NCT04809220,Adverse Event,Overall Study,FG000,0.0338246158134523,0.8343029710885109,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3733,NCT00654381,Adverse Event,2nd Stage,FG003,0.0338236498385317,0.8342585601989608,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3734,NCT00654381,Adverse Event,1st Stage,FG001,0.0338139170541566,0.8342141493094106,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3735,NCT00484198,Hyperglycemia Meeting Discontinuation Criteria,Overall Study,FG003,0.033807434006865,0.8341697384198605,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3736,NCT00654381,Adverse Event,1st Stage,FG002,0.0337992415416567,0.8341253275303104,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3737,NCT02161562,Lack of Efficacy,Overall Study,FG000,0.0337989495896626,0.8340809166407603,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3738,NCT02161562,Protocol Violation,Overall Study,FG001,0.0337877165488888,0.8340365057512102,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
3739,NCT00415532,Withdrawal by Subject,Treatment Period,FG001,0.0337859665279166,0.83399209486166,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3740,NCT01350999,Adverse Event,Overall Study,FG002,0.0337719573698412,0.8339476839721099,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3741,NCT02234843,Adverse Event,Overall Study,FG000,0.0337127202743154,0.8339032730825598,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3742,NCT01557166,Adverse Event,Overall Study,FG001,0.0337101171176587,0.8338588621930098,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3743,NCT03585270,Death,Overall Study,FG001,0.0337074056983958,0.8338144513034597,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3744,NCT02030600,Withdrawal by Subject,Treatment Period 2,FG001,0.0337045747738393,0.8337700404139095,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3745,NCT02104804,Study specific discontinuation criteria,Overall Study,FG000,0.0336815399326586,0.8337256295243594,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3746,NCT00789737,Other,Overall Study,FG001,0.0336755891445436,0.8336812186348093,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3747,NCT00086515,Lack of Efficacy,Phase B (Weeks 24-104),FG001,0.0336754326838789,0.8336368077452592,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3748,NCT02234843,Withdrawal by Subject,Overall Study,FG000,0.0336730555322916,0.8335923968557091,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3749,NCT01042977,Subject no longer meets study criteria,Overall Study,FG000,0.0336685061541468,0.8335479859661589,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3750,NCT02607865,Withdrawal by Subject,Overall Study,FG002,0.0336679317544444,0.8335035750766088,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3751,NCT00571649,Patient convenience,Follow-up Period,FG001,0.0336582407965674,0.8334591641870587,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3752,NCT03096314,Lost to Follow-up,Screened Vitamin D Deficient,FG001,0.0336379622844047,0.8334147532975086,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3753,NCT00449930,Withdrawal by Subject,Overall Study,FG001,0.0336126254230952,0.8333703424079585,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3754,NCT00705575,Adverse Event,Overall Study,FG001,0.0336030476527334,0.8333259315184083,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3755,NCT00415532,Withdrawal by Subject,Treatment Period,FG000,0.0336029044604166,0.8332815206288582,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3756,NCT01167881,Non compliant with protocol,Overall Study,FG001,0.0335910233270833,0.8332371097393081,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
3757,NCT03877237,Death,Overall Study,FG000,0.0335477248757043,0.833192698849758,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3758,NCT00799903,Withdrawal by Subject,Overall Study,FG001,0.033530211346865,0.8331482879602078,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3759,NCT02468232,Subject/Guardian decision,OLE Part of Study,FG002,0.0335023290324404,0.8331038770706577,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3760,NCT00683878,Withdrawal by Subject,Overall Study,FG000,0.0334878204022123,0.8330594661811076,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3761,NCT01850524,Lost to Follow-up,Overall Study,FG000,0.0334701354152182,0.8330150552915575,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3762,NCT03914326,Lost to Follow-up,Overall Study,FG000,0.0334692230500279,0.8329706444020074,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3763,NCT00915772,Lack of Efficacy,Overall Study,FG002,0.0334551080533234,0.8329262335124572,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3764,NCT01272219,Protocol Violation,Main Period: Week 0 to Week 56,FG004,0.0334461024342559,0.8328818226229071,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
3765,NCT02324569,Voluntary Withdrawal,Overall Study,FG000,0.0334344890335118,0.832837411733357,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3766,NCT00799903,Withdrawal by Subject,Overall Study,FG000,0.033429160328869,0.8327930008438069,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3767,NCT00168818,Lost to Follow-up,Overall Study,FG002,0.0334188575515971,0.8327485899542568,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3768,NCT02468232,Death,OLE Part of Study,FG003,0.0334187850664285,0.8327041790647066,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3769,NCT02324569,Lack of Efficacy,Overall Study,FG001,0.0334083153262797,0.8326597681751565,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3770,NCT04848480,Withdrawal by Subject,Extension Phase (26 Weeks),FG000,0.0334027488114682,0.8326153572856064,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3771,NCT00782340,Randomized in error,Open Label Titration,FG000,0.0333907616741341,0.8325709463960563,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3772,NCT02307513,Lack of Efficacy,Active Treatment Phase (Weeks 13-64),FG000,0.0333902507234921,0.8325265355065062,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3773,NCT04707469,Lost to Follow-up,Overall Study,FG000,0.0333843342170337,0.832482124616956,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3774,NCT02314637,Physician Decision,Overall Study,FG000,0.0333764829283631,0.8324377137274059,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3775,NCT00713830,Lack of Efficacy,Overall Study,FG001,0.0333747153787103,0.8323933028378558,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3776,NCT00116831,Adverse Event,Overall Study,FG001,0.0333725217654356,0.8323488919483057,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3777,NCT00316082,Withdrawal of Consent by Subject,Overall Study,FG003,0.033370586468244,0.8323044810587557,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3778,NCT02314637,Withdrawal by Subject,Overall Study,FG000,0.0333700450383631,0.8322600701692054,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3779,NCT02307513,Lack of Efficacy,Active Treatment Phase (Weeks 13-64),FG001,0.0333601340294445,0.8322156592796554,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3780,NCT00094302,Lost to Follow-up,Overall Study,FG000,0.0333575956805059,0.8321712483901053,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3781,NCT05412004,Lost to Follow-up,Overall Study,FG000,0.0333568965575694,0.8321268375005552,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3782,NCT01627327,Protocol Violation,Overall Study,FG001,0.0333542137969246,0.8320824266110051,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
3783,NCT02762578,Unclassified,Overall Study,FG000,0.0333453400541765,0.8320380157214549,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3784,NCT02446990,Withdrawal by Subject,Overall Study,FG001,0.0333441885240972,0.8319936048319048,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3785,NCT00976391,Lost to Follow-up,Treatment Period (52 Weeks),FG000,0.0333429270168551,0.8319491939423547,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3786,NCT01827046,Lost to Follow-up,Overall Study,FG001,0.0333429239328472,0.8319047830528046,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3787,NCT02158806,Lost to Follow-up,Overall Study,FG001,0.0333419080151262,0.8318603721632545,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3788,NCT01076075,Withdrawal by Subject,Overall Study,FG000,0.0333416559226587,0.8318159612737043,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
3789,NCT01954394,Adverse Event,Overall Study,FG000,0.0333247605869841,0.8317715503841542,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3790,NCT01954394,Other than specified above,Overall Study,FG000,0.0333194941419841,0.8317271394946041,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3791,NCT03952143,Physician Decision,Lead-In Period,FG000,0.0333065667893451,0.831682728605054,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3792,NCT02762578,Adverse Event,Overall Study,FG001,0.0332997294790873,0.8316383177155039,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
3793,NCT04929249,Lost to Follow-up,Overall Study,FG000,0.0332904981363041,0.8315939068259537,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
3794,NCT01406717,Protocol Violation,Overall Study,FG000,0.0332898386650793,0.8315494959364036,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
3795,NCT03952143,Due to COVID 19 restrictions,Treatment Period,FG002,0.0332848121149404,0.8315050850468535,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3796,NCT00657150,Non-compliant with protocol,Overall Study,FG001,0.0332838411118433,0.8314606741573034,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
3797,NCT03952143,Protocol Violation,Lead-In Period,FG000,0.0332724817957142,0.8314162632677533,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
3798,NCT00657150,Non-compliant with protocol,Treatment,FG001,0.0332700950368433,0.8313718523782031,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
